,vid,harsh_acc,harsh_dec,harsh_turn,over_speed,idleRate,tripMileKm
0,36,10.514019000000001,8.17757,29.205608,31.028038000000002,0.024620574,85.599996
1,36,6.315789,7.368420599999999,0.0,12.0,0.08162113,95.0
2,36,6.263047,6.263047,4.1753654000000004,2.0,0.07412281,47.900002
3,36,81.08108,270.27026,0.0,3.0,0.27919114,3.7
4,36,7.8048779999999995,19.512194,17.560976,50.85366,0.117484696,102.5
5,36,1.7182131,8.591064,8.591064,10.5773196,0.075002775,116.4
6,36,8.064516000000001,0.0,0.0,3.0,0.08262108,12.4
7,36,28.688526,86.065575,0.0,6.0,0.16676773,24.400000000000002
8,36,92.715225,145.69536000000002,6.622516,3.0,0.14839113,15.100000000000001
9,36,82.19178000000001,82.19178000000001,0.0,3.0,0.22659338,29.2
10,36,146.34146,195.12195,0.0,1.0,0.20540540000000002,4.1000000000000005
11,36,59.1133,77.1757,0.0,9.0,0.16266015,60.900003
12,36,16.649324,15.608742000000001,1.0405828000000001,23.4058275,0.17980382,96.09999499999999
13,36,10.938924,12.762077,9.115769,18.319962,0.10471992,109.7
14,36,35.603718,20.123839999999998,10.835914,10.0,0.10791605,64.60000000000001
15,36,74.07406999999999,67.90123,0.0,0.0,0.1252636,16.2
16,36,58.823524,58.823524,0.0,3.0,0.14420655,6.8
17,36,54.05405,6.756756299999999,0.0,0.0,0.10277033,14.8
18,36,19.230767999999998,32.05128,0.0,1.0,0.019762846,15.6000005
19,36,25.191673,25.191673,0.0,1.0,0.06368729,91.30000000000001
20,36,32.748540000000006,23.391813,0.0,3.0,0.07126030000000001,85.5
21,36,28.806581,32.92181,0.0,1.0,0.13363363,24.300002000000003
22,36,136.36363,22.727272,0.0,2.0,0.33112857,4.4
23,36,153.84615,153.84615,0.0,2.0,0.2832618,3.9000001
24,36,0.0,19.047619,147.61905,5.0,0.14707139,21.0
25,36,7.2639227,2.4213076,0.0,8.0,0.0017464198000000002,41.300000000000004
26,36,0.0,6.127451000000001,0.0,6.0,0.0035545023,81.59999499999999
27,36,4.784689,17.543860000000002,0.7974481,20.961722,0.062426247000000004,125.4
28,36,7.8125,31.25,0.0,2.0,0.3342857,12.800001
29,36,3.2128513,8.032128,0.0,4.0,0.07559682,124.5
30,36,0.77760494,4.6656294,0.77760494,5.0,0.12169702,128.6
31,36,24.390244,85.36585,0.0,1.0,0.3309562,24.600001
32,36,25.641023999999998,179.48718,0.0,1.0,0.17058824,3.9000001
33,36,162.7907,209.3023,0.0,0.0,0.22215569,4.3
34,36,62.200959999999995,191.38756,153.11005,2.0,0.07479452,20.9
35,36,46.223225,90.75535,12.965050999999999,0.0,0.07497331,177.40001
36,36,78.01418000000001,163.12057,0.0,3.0,0.09772728,14.1
37,36,22.637794,50.19685,1.968504,11.0,0.122544,101.6
38,36,6.001500599999999,32.258064000000005,15.003751000000001,207.05026,0.067990236,133.3
39,36,5.785124,28.099172999999997,19.008264999999998,178.20662,0.03331995,121.0
40,36,3.9840633999999997,10.624169,11.95219,2.0,0.047367524,75.30000000000001
41,36,61.764706000000004,150.0,0.0,1.0,0.18544771,34.0
42,36,36.719124,58.65521999999999,10.014306,152.38531,0.1627961,209.7
43,36,115.789474,263.1579,0.0,3.0,0.19638695,9.5
44,36,181.81818,181.81818,0.0,4.0,0.41091812,4.4
45,36,9.049773,38.712917,14.077425,32.580191,0.034062292,198.90000999999998
46,36,12.539186,28.213167,53.291534,6.0,0.03608087,31.9
47,36,7.6877584,26.020107,4.139562000000001,4.0,0.05177016,169.1
48,36,74.76635999999999,130.84113,0.0,4.0,0.41154903,10.6999995
49,36,111.11111499999998,266.6667,0.0,2.0,0.27729404,4.5
50,36,142.85713,309.5238,0.0,2.0,0.44872755,4.2000003
51,36,38.647343,28.985506,178.74396000000002,6.0,0.10999254,20.7
52,36,39.55696,60.126580000000004,32.436707,117.92405,0.15348493,126.40001000000001
53,36,36.220473999999996,66.92913,6.2992125,3.937008,0.08500251,127.0
54,36,115.38461000000001,219.78021,0.0,2.0,0.21205187,18.2
55,36,120.25316000000001,278.48102,0.0,2.0,0.38491908,15.800001000000002
56,36,100.67113499999999,241.61072000000001,0.0,3.0,0.20042554,14.900001000000001
57,36,162.7907,209.3023,0.0,4.0,0.26481837,4.3
58,36,80.0,76.0,108.00001,2.0,0.1919267,25.0
59,36,17.204302,41.935482,3.2258062,125.73118600000001,0.08074085,93.00000000000001
60,36,48.635822,65.24318000000001,0.0,11.0,0.12542187,84.300004
61,36,44.554455,89.10891,0.0,4.0,0.24822502,20.200001000000004
62,36,1.3630167,0.9086778,0.4543389,28.995455999999997,0.029394343,220.1
63,36,0.0,5.0,0.0,2.0,0.007920792,20.0
64,36,195.65218000000002,86.95653,0.0,3.0,0.2572196,4.6
65,36,52.083332,57.291664000000004,93.74999,5.0,0.09290618,19.2
66,36,185.43045,119.2053,6.622516,1.0,0.23770125,15.100000000000001
67,36,24.390244,56.402440000000006,4.5731707,41.634147999999996,0.03615329,65.60000000000001
68,36,52.54237,83.05085,3.3898306000000002,31.0339,0.09421435,59.00000000000001
69,36,18.867924,84.90566,0.0,1.0,0.050861362,10.600001
70,36,213.33334,62.222225,177.77778999999998,5.0,0.08672722,22.5
71,36,325.5814,162.7907,0.0,1.0,0.29572272,4.3
72,36,271.9298,263.1579,0.0,1.0,0.28265336,11.4
73,36,158.22784,164.55696,0.0,5.0,0.2995989,15.800001000000002
74,36,68.08510600000001,93.61702,0.0,6.0,0.18079951,23.5
75,36,3.257329,9.229099,6.514658,10.0,0.039505325,184.2
76,36,81.76100000000001,113.20754,0.0,4.0,0.31430846,31.8
77,36,93.89671,65.7277,122.06572,1.0,0.34696218,21.300001
78,36,14.918625,10.39783,0.0,201.91502,0.11736742,221.20000000000002
79,36,2.2857141,4.0,6.285714,11.4285712,0.041336924,175.0
80,36,193.54838999999998,139.78493999999998,0.0,2.0,0.2880508,9.299999999999999
81,36,75.471695,37.735847,0.0,4.0,0.27226934,10.600001
82,36,59.090908,59.090908,0.0,6.0,0.21511911,22.000000000000004
83,36,136.36363,90.90909,0.0,0.0,0.25333333,4.4
84,36,155.55556,66.66667,0.0,2.0,0.13495935,9.000000000000002
85,36,30.560270000000003,79.79626,0.0,0.0,0.07429226,58.900002
86,36,56.074768000000006,84.11215,0.0,4.0,0.23460674,10.6999995
87,36,75.471695,42.45283,0.0,0.0,0.1821501,21.200001
88,36,67.96117,84.142395,0.0,15.944984,0.10825295,61.800000000000004
89,36,44.467422,33.092037,0.0,13.0,0.2551839,96.700005
90,36,27.027025,135.13513,0.0,0.0,0.24137929999999996,3.7
91,36,89.605736,157.7061,86.02150999999999,3.0,0.15161596,27.900000000000002
92,36,22.222223,0.0,0.0,1.0,0.5451159000000001,4.5
93,36,6.2305293,9.345794,1.0384216,101.381096,0.14032236,96.300006
94,36,17.021276,21.985815,3.5460993999999997,201.1986,0.09649287,141.0
95,36,142.85715,57.14286,0.0,3.0,0.29157177,3.5
96,36,82.79220600000001,45.454544,0.0,11.2467532,0.055075802,61.600003
97,36,16.605165,18.450184,0.0,6.0,0.20985633,54.199999999999996
98,36,5.5440054000000005,11.088011,2.7720027000000003,14.0,0.13380724,144.3
99,36,24.390244,121.951225,0.0,2.0,0.42675665,4.1000000000000005
100,36,108.1081,108.1081,0.0,3.0,0.32536975,3.7
101,36,9.202454,27.607359999999996,1.0224949,12.2699375,0.059863303,97.8
102,36,90.90909,140.49586000000002,0.0,5.0,0.27809307,12.1
103,36,43.103446999999996,60.344826,0.0,5.0,0.19777398,11.600001
104,36,42.55319,35.46099,0.0,8.0,0.098576516,56.4
105,36,39.285713,100.0,1.7857144,1.0,0.13540623,55.99999999999999
106,36,131.49847,149.84708999999998,0.0,6.0,0.21753868,32.700002
107,36,44.303795,66.455696,0.0,6.329114,0.08523108,63.20000400000001
108,36,10.58201,26.455027,111.11111499999998,45.714287,0.16072051,75.6
109,36,48.4429,50.749706,76.12456,9.306805,0.22324888,86.70000999999999
110,36,66.66667,22.222223,177.77778999999998,45.444447,0.17799352,4.5
111,36,108.1081,81.08108,0.0,0.0,0.11227545,3.7
112,36,25.80645,54.83871,93.548386,38.48387,0.15112482,31.0
113,36,7.2463765,14.492753,239.13043,3.0,0.03459747,13.799999999999999
114,36,45.045044,81.08108,0.0,0.0,0.07439398,22.200001
115,36,72.0,72.0,232.0,3.0,0.21548437,12.5
116,36,101.694916,118.64407,0.0,35.898308,0.12684086,11.799999999999999
